"","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","MR.micro.mol.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data","Conversion.factor.to.micro.mol.kg.h"
"578","Percichthyidae","Maccullochella","peelii","Murray cod","River Murray Darling Basin","-34.520932, 144.758250",-34.5," 144.758250","Yes",NA,20,"0.1","","","","Pellet food","","","satation","Twice daily","12h:12h",5,2.2,"","0.16","","",180,70900,0,"61","","0.2","","","Juvinille","Juvenile","","24","Closed","","Equilibration with with N2","","","","",0.1,20,"","","","","SMR","125","","","mg O2/kg/h",8.59,"","","","","","kPa","",2.62,"","","","","","","","","","30 acclimation to 12-14 kPa at 20 degree C","","","","","Gilmore, K. L., Doubleday, Z. A., & Gillanders, B. M. (2019). Prolonged exposure to low oxygen improves hypoxia tolerance in a freshwater fish. Conservation physiology, 7(1), coz058.",NA,"0.83","FIA",0.83,"round","Maccullochella_peelii",0.1,0,0.342422681,34.5,0.003102962,-2.508223554,0.933993164,-0.108027963,-2,-1.003117304,"quantatative",0.03125
"579","Percichthyidae","Maccullochella","peelii","Murray cod","River Murray Darling Basin","-34.520932, 144.758250",-34.5," 144.758250","Yes",NA,20,"0.1","","","","Pellet food","","","satation","Twice daily","12h:12h",6,1.6,"","0.06","","",180,70900,0,"60","","1","","","Juvinille","Juvenile","","24","Closed","","Equilibration with with N2","","","","",0.1,20,"","","","","SMR","188","","","mg O2/kg/h",9.4,"","","","","","kPa","",3.39,"","","","","","","","","","30 acclimation to 7-9 kPa at 20 degree C","","","","","Gilmore, K. L., Doubleday, Z. A., & Gillanders, B. M. (2019). Prolonged exposure to low oxygen improves hypoxia tolerance in a freshwater fish. Conservation physiology, 7(1), coz058.",NA,"0.83","FIA",0.83,"round","Maccullochella_peelii",0.1,0,0.204119983,34.5,0.0022567,-2.646526253,0.973127854,0.046891018,-2,-1.003117304,"quantatative",0.03125
"580","Percichthyidae","Maccullochella","peelii","Murray cod","River Murray Darling Basin","-34.520932, 144.758250",-34.5," 144.758250","Yes",NA,20,"0.1","","","","Pellet food","","","satation","Twice daily","12h:12h",5,1.6,"","0.1","","",180,70900,0,"56","","0.5","","","Juvinille","Juvenile","","24","Closed","","Equilibration with with N2","","","","",0.1,24,"","","","","SMR","143","","","mg O2/kg/h",7.15,"","","","","","kPa","",2.37,"","","","","","","","","","30 acclimation to 12-14 kPa at 24 degree C","","","","","Gilmore, K. L., Doubleday, Z. A., & Gillanders, B. M. (2019). Prolonged exposure to low oxygen improves hypoxia tolerance in a freshwater fish. Conservation physiology, 7(1), coz058.",NA,"0.83","FIA",0.83,"round","Maccullochella_peelii",0.1,-4,0.204119983,34.5,0.0022567,-2.646526253,0.854306042,-0.170748408,2,2.996882696,"quantatative",0.03125
"581","Percichthyidae","Maccullochella","peelii","Murray cod","River Murray Darling Basin","-34.520932, 144.758250",-34.5," 144.758250","Yes",NA,20,"0.1","","","","Pellet food","","","satation","Twice daily","12h:12h",5,2.1,"","0.18","","",180,70900,0,"61","","2.4","","","Juvinille","Juvenile","","24","Closed","","Equilibration with with N2","","","","",0.1,24,"","","","","SMR","174","","","mg O2/kg/h",11.42,"","","","","","kPa","",1.48,"","","","","","","","","","30 acclimation to 7-9 kPa at 24 degree C","","","","","Gilmore, K. L., Doubleday, Z. A., & Gillanders, B. M. (2019). Prolonged exposure to low oxygen improves hypoxia tolerance in a freshwater fish. Conservation physiology, 7(1), coz058.",NA,"0.83","FIA",0.83,"round","Maccullochella_peelii",0.1,-4,0.322219295,34.5,0.002961918,-2.52842694,1.057666104,-0.066258761,2,2.996882696,"quantatative",0.03125
"582","Sciaenidae","Sciaenops","ocellatus","Red drum","Ekstrom Aquaculture LLC (Palacios, USA)","29.197717, -96.248025",29.2," -96.248025","No","35",26,"35","","","",NA,"","","satation","daily",NA,11,21,"","2","","",155,42900,0.05,"","","","","",NA,"Larvae","","48","Closed","","O2 consumption by fish","","","1","kPa",35,26,"","","","","SMR","244","","","mg O2/kg/h",160.13,"","","","","","kPa","",4.6,"0.2","","","","","","","","74","","","","","","Negrete, B., & Esbaugh, A. J. (2019). A methodological evaluation of the determination of critical oxygen threshold in an estuarine teleost. Biology open, 8(11).",NA,"0.39","SCF",0.39,"round","Sciaenops_ocellatus",35,0,1.322219295,29.2,0.048951049,-1.310237997,2.204472704,-0.027849846,1.470579185,3.478593509,"quantatative",0.03125
"583","Sciaenidae","Sciaenops","ocellatus","Red drum","Ekstrom Aquaculture LLC (Palacios, USA)","29.197717, -96.248025",29.2," -96.248025","No","35",26,"35","","","",NA,"","","satation","daily",NA,9,26,"","2","","",155,42900,0.06,"","","","","",NA,"Larvae","","48","Intermittent-Flow","","Equilibration with with N2","","","5","% O2 sat",35,26,"","","","","SMR","231","","","mg O2/kg/h",187.69,"","","","","","kPa","",4.4,"0.2","","","","","","","","233","","","","","","Negrete, B., & Esbaugh, A. J. (2019). A methodological evaluation of the determination of critical oxygen threshold in an estuarine teleost. Biology open, 8(11).",NA,"0.39","SCF",0.39,"round","Sciaenops_ocellatus",35,0,1.414973348,29.2,0.060606061,-1.217483944,2.273441134,-0.03653328,1.470579185,3.478593509,"quantatative",0.03125
"584","Cichlidae","Mayaheros","urophthalmus","Mayan cichlid","Tabasco State","18.139850, -93.260016",18.1," -93.260016","Yes","90",27.5,NA,"kpa","20","8","","","","ad libitum","Twice daily","13h:11h",5,55.4,"","8.1","","",39.4,2100,2.64,"","","","","","young adult","Adult","","12h-16h","Closed","","O2 consumption by fish","","","","",NA,23,"","","","","RMR","2.9","","","micro mol h–1 g–1",160.66,"","","","","","kPa","",2.6,"0.76","","","","","","","broken stick","120-360","","","","","","Burggren, W. W., Arriaga-Bernal, J. C., Méndez-Arzate, P. M., & Méndez-Sánchez, J. F. (2019). Metabolic physiology of the Mayan cichlid fish (Mayaheros uropthalmus): re-examination of classification as an oxyconformer. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 237, 110538.",NA,NA,NA,1.09,"round","Mayaheros_urophthalmus",NA,4.5,1.743509765,18.1,2.638095238,0.42129047,2.205907763,0,-5,-2.701219693,"quantatative",1
"585","Cichlidae","Mayaheros","urophthalmus","Mayan cichlid","Tabasco State","18.139850, -93.260016",18.1," -93.260016","Yes","90",27.5,NA,"kpa","20","8","","","","ad libitum","Twice daily","13h:11h",6,55.4,"","8.1","","",39.4,2100,2.64,"","","","","","young adult","Adult","","12h-16h","Closed","","O2 consumption by fish","","","","",NA,28,"","","","","RMR","4.3","","","micro mol h–1 g–1",238.22,"","","","","","kPa","",3.17,"0.79","","","","","","","broken stick","120-360","12h-14h acclimation to 28 degree C","","","","","Burggren, W. W., Arriaga-Bernal, J. C., Méndez-Arzate, P. M., & Méndez-Sánchez, J. F. (2019). Metabolic physiology of the Mayan cichlid fish (Mayaheros uropthalmus): re-examination of classification as an oxyconformer. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 237, 110538.",NA,NA,NA,1.09,"round","Mayaheros_urophthalmus",NA,-0.5,1.743509765,18.1,2.638095238,0.42129047,2.37697822,0,1.42e-14,2.298780307,"quantatative",1
"586","Cichlidae","Mayaheros","urophthalmus","Mayan cichlid","Tabasco State","18.139850, -93.260016",18.1," -93.260016","Yes","90",27.5,NA,"kpa","20","8","","","","ad libitum","Twice daily","13h:11h",6,55.4,"","8.1","","",39.4,2100,2.64,"","","","","","young adult","Adult","","12h-16h","Closed","","O2 consumption by fish","","","","",NA,33,"","","","","RMR","5.9","","","micro mol h–1 g–1",326.86,"","","","","","kPa","",4.68,"0.91","","","","","","","broken stick","120-360","12h-14h acclimation to 33 degree C","","","","","Burggren, W. W., Arriaga-Bernal, J. C., Méndez-Arzate, P. M., & Méndez-Sánchez, J. F. (2019). Metabolic physiology of the Mayan cichlid fish (Mayaheros uropthalmus): re-examination of classification as an oxyconformer. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 237, 110538.",NA,"TBA","TBA",1.09,"round","Mayaheros_urophthalmus",NA,-5.5,1.743509765,18.1,2.638095238,0.42129047,2.514361776,0,5,7.298780307,"quantatative",1
"587","Fundulidae","Fundulus","heteroclitus macrolepidotus","Northern killifish","Hampton, NH, USA","42.903404, -70.794704",42.9," -70.794704","Yes","28",18,"0","","","","commercial fish flakes","","","satation","daily","12h:12h",8,3.83,"","0.12","","",15,59.33,6.46,"","","","","",NA,"Adult","","24","Closed","","O2 consumption by fish","","","0","Torr",0,18,"","","","","RMR","7.05","","","micro mol h–1 g–1",27,"40.9","","","","4.5","Torr","",5.45,"0.6","","","","","","","Greatest difference method","175","","","","","","Giacomin, M., Bryant, H. J., Val, A. L., Schulte, P. M., & Wood, C. M. (2019). The osmorespiratory compromise: physiological responses and tolerance to hypoxia are affected by salinity acclimation in the euryhaline Atlantic killifish (Fundulus heteroclitus). Journal of Experimental Biology, 222(19).",NA,"1.36","FCM",1.36,"round","Fundulus_heteroclitus_heteroclitus",0,0,0.583198774,42.9,6.455418844,0.809924426,1.431363764,0.238835581,-3.168852251,-0.596772178,"quantatative",1
"588","Fundulidae","Fundulus","heteroclitus macrolepidotus","Northern killifish","Hampton, NH, USA","42.903404, -70.794704",42.9," -70.794704","Yes","28",18,"11","","","","commercial fish flakes","","","satation","daily","12h:12h",8,3.83,"","0.12","","",15,59.33,6.46,"","","","","",NA,"Adult","","24","Closed","","O2 consumption by fish","","","0","Torr",11,18,"","","","","RMR","7.05","","","micro mol h–1 g–1",27,"20.6","","","","4.9","Torr","",2.75,"0.66","","","","","","","Greatest difference method","175","","","","","","Giacomin, M., Bryant, H. J., Val, A. L., Schulte, P. M., & Wood, C. M. (2019). The osmorespiratory compromise: physiological responses and tolerance to hypoxia are affected by salinity acclimation in the euryhaline Atlantic killifish (Fundulus heteroclitus). Journal of Experimental Biology, 222(19).",NA,"1.36","FCM",1.36,"round","Fundulus_heteroclitus_heteroclitus",11,0,0.583198774,42.9,6.455418844,0.809924426,1.431363764,0.168612061,-3.168852251,-0.596772178,"quantatative",1
"589","Fundulidae","Fundulus","heteroclitus macrolepidotus","Northern killifish","Hampton, NH, USA","42.903404, -70.794704",42.9," -70.794704","Yes","28",18,"35","","","","commercial fish flakes","","","satation","daily","12h:12h",8,3.83,"","0.12","","",15,59.33,6.46,"","","","","",NA,"Adult","","24","Closed","","O2 consumption by fish","","","0","Torr",35,18,"","","","","RMR","9.14","","","micro mol h–1 g–1",35.01,"30.8","","","","5.56","Torr","",4.1,"0.74","","","","","","","Greatest difference method","175","","","","","","Giacomin, M., Bryant, H. J., Val, A. L., Schulte, P. M., & Wood, C. M. (2019). The osmorespiratory compromise: physiological responses and tolerance to hypoxia are affected by salinity acclimation in the euryhaline Atlantic killifish (Fundulus heteroclitus). Journal of Experimental Biology, 222(19).",NA,"1.36","FCM",1.36,"round","Fundulus_heteroclitus_heteroclitus",35,0,0.583198774,42.9,6.455418844,0.809924426,1.544192111,0.128225455,-3.168852251,-0.596772178,"quantatative",1
"590","Fundulidae","Fundulus","grandis","Gulf killifish","purchased",NA,NA,NA,"No","30",27,"10","","","","flake fish food","","","1-1.5% of body weight","daily","12h:12h",NA,10.8,"","","0.0054","0.0162",18,109.07,9.9,"","","","","","adult","Adult","Male","24","Closed","","O2 consumption by fish","","","","",10,27,"","","","","SMR","0.1","","","micro mol min–1 g–1",64.8,"","","","","","kPa","",3.3,"","0.65","","","","","","linear regression","45-108","","","","","","Reemeyer, J. E., & Rees, B. B. (2019). Standardizing the determination and interpretation of Pcrit in fishes. Journal of Experimental Biology, 222(18).",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.033423755,26.5,9.901897864,0.995718442,1.811575006,-0.043341281,-0.112061079,3.705125433,"quantatative",60
"591","Fundulidae","Fundulus","grandis","Gulf killifish","purchased",NA,NA,NA,"No","30",27,"10","","","","flake fish food","","","1-1.5% of body weight","daily","12h:12h",NA,10.8,"","","0.0054","0.0162",18,109.07,9.9,"","","","","","adult","Adult","Male","24","Closed","","O2 consumption by fish","","","","",10,27,"","","","","RMR","0.11","","","micro mol min–1 g–1",71.28,"","","","","","kPa","",3.7,"","0.7","","","","","","linear regression","45-108","","","","","","Reemeyer, J. E., & Rees, B. B. (2019). Standardizing the determination and interpretation of Pcrit in fishes. Journal of Experimental Biology, 222(18).",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.033423755,26.5,9.901897864,0.995718442,1.852967691,-0.001948595,-0.112061079,3.705125433,"quantatative",60
"592","Fundulidae","Fundulus","grandis","Gulf killifish","purchased",NA,NA,NA,"No","30",27,"10","","","","flake fish food","","","1-1.5% of body weight","daily","12h:12h",NA,10.8,"","","0.0054","0.0162",18,109.07,9.9,"","","","","","adult","Adult","Male","24","Intermittent-Flow","","Equilibration with with N2","","","","",10,27,"","","","","SMR","0.1","","","micro mol min–1 g–1",64.8,"","","","","","kPa","",3.7,"","0.5","","","","","","linear regression","900","","","","","","Reemeyer, J. E., & Rees, B. B. (2019). Standardizing the determination and interpretation of Pcrit in fishes. Journal of Experimental Biology, 222(18).",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.033423755,26.5,9.901897864,0.995718442,1.811575006,-0.043341281,-0.112061079,3.705125433,"quantatative",60
"593","Fundulidae","Fundulus","grandis","Gulf killifish","purchased",NA,NA,NA,"No","30",27,"10","","","","flake fish food","","","1-1.5% of body weight","daily","12h:12h",NA,10.8,"","","0.0054","0.0162",18,109.07,9.9,"","","","","","adult","Adult","Male","24","Intermittent-Flow","","Equilibration with with N2","","","","",10,27,"","","","","RMR","0.11","","","micro mol min–1 g–1",71.28,"","","","","","kPa","",4.3,"","0.7","","","","","","linear regression","900","","","","","","Reemeyer, J. E., & Rees, B. B. (2019). Standardizing the determination and interpretation of Pcrit in fishes. Journal of Experimental Biology, 222(18).",NA,NA,NA,1.36,"round","Fundulus_grandis",10,0,1.033423755,26.5,9.901897864,0.995718442,1.852967691,-0.001948595,-0.112061079,3.705125433,"quantatative",60
"594","Tripterygiidae","Bellapiscis","medius","the twister","Hatfields Beach, Auckland, New Zealand","-36.266667, 174.783333",-36.3," 174.783333","Yes","28",18,"35","","nomoxia","","crushed aquaculture feed and pilchard","","","","daily",NA,NA,3.22,"","0.41","","",7.5,3.935584067,122.9,"","","","","",NA,"Adult",NA,"48","Intermittent-Flow","","","","","6","% Air Sat",35,18,"","","","","SMR","0.079","","","mg O2/g/h",7.95,"","","","","","kPa","",1.98,"","","","","","","","linear regression","210","","","","","","McArley, T. J., Hickey, A. J., Wallace, L., Kunzmann, A., & Herbert, N. A. (2019). Intertidal triplefin fishes have a lower critical oxygen tension (P crit), higher maximal aerobic capacity, and higher tissue glycogen stores than their subtidal counterparts. Journal of Comparative Physiology B, 189(3), 399-411.",NA,"0.97","FCM",0.97,"round","Bellapiscis_medius",35,0,0.507855872,36.3,81.81758909,1.912846678,0.900367129,-0.452523935,-4.511760516,-2.48747192,"quantatative",31.25
"595","Tripterygiidae","Forsterygion ","lapillum","common triplefin","Hatfields Beach, Auckland, New Zealand","-36.300000, 174.783333",-36.3," 174.783333","Yes","28",18,"35","","nomoxia","","crushed aquaculture feed and pilchard","","","","daily",NA,NA,1.72,"","0.12","","",6.7,2.044410976,91.49,"","","","","",NA,"Adult",NA,"48","Intermittent-Flow","","","","","6","% Air Sat",35,18,"","","","","SMR","0.1","","","mg O2/g/h",5.38,"","","","","","kPa","",3.08,"","","","","","","","linear regression","210","","","","","","McArley, T. J., Hickey, A. J., Wallace, L., Kunzmann, A., & Herbert, N. A. (2019). Intertidal triplefin fishes have a lower critical oxygen tension (P crit), higher maximal aerobic capacity, and higher tissue glycogen stores than their subtidal counterparts. Journal of Comparative Physiology B, 189(3), 399-411.",NA,"1.25","FCM",1.25,"round","Forsterygion_lapillum",35,0,0.235528447,36.3,84.13181205,1.924960243,0.730782276,-0.394121638,-1.63e-14,-2.48747192,"quantatative",31.25
"596","Tripterygiidae","Forsterygion","varium","striped triplefin","Hatfields Beach, Auckland, New Zealand","-36.300000, 174.783333",-36.3," 174.783333","Yes","28",18,"35","","nomoxia","","crushed aquaculture feed and pilchard","","","","daily",NA,NA,6.6,"","0.98","","",13,37.9,17.41,"","","","","",NA,"Adult",NA,"48","Intermittent-Flow","","","","","6","% Air Sat",35,18,"","","","","SMR","0.096","","","mg O2/g/h",19.8,"","","","","","kPa","",3.58,"","","","","","","","linear regression","210","","","","","","McArley, T. J., Hickey, A. J., Wallace, L., Kunzmann, A., & Herbert, N. A. (2019). Intertidal triplefin fishes have a lower critical oxygen tension (P crit), higher maximal aerobic capacity, and higher tissue glycogen stores than their subtidal counterparts. Journal of Comparative Physiology B, 189(3), 399-411.",NA,"1.22","FCM",1.22,"round","Forsterygion_varium",35,0,0.819543936,36.3,17.41424802,1.240904726,1.29666519,-0.317164975,-8.15e-15,-2.48747192,"quantatative",31.25
"597","Tripterygiidae","Forsterygion","malcolmi","Mottled triplefin","Hatfields Beach, Auckland, New Zealand","-36.300000, 174.783333",-36.3," 174.783333","Yes","28",18,"35","","nomoxia","","crushed aquaculture feed and pilchard","","","","daily",NA,NA,4.95,"","1.16","","",12.2,13.27,37.3,"","","","","",NA,"Adult",NA,"48","Intermittent-Flow","","","","","6","% Air Sat",35,18,"","","","","SMR","0.11","","","mg O2/g/h",17.02,"","","","","","kPa","",4.58,"","","","","","","","linear regression","210","","","","","","McArley, T. J., Hickey, A. J., Wallace, L., Kunzmann, A., & Herbert, N. A. (2019). Intertidal triplefin fishes have a lower critical oxygen tension (P crit), higher maximal aerobic capacity, and higher tissue glycogen stores than their subtidal counterparts. Journal of Comparative Physiology B, 189(3), 399-411.",NA,"1.18","FCM",1.18,"round","Forsterygion_malcolmi",35,0,0.694605199,36.3,37.30218538,1.571734276,1.230959556,-0.278274362,-3.13e-14,-2.48747192,"quantatative",31.25
"598","Cyprinidae","Danio","rerio","Zebrafish","in-house stock at the University of Ottawa","45.422880, -75.683358",45.4," -75.683358","No",NA,28,"0.1","mmHg","153","",NA,"","","satation","daily","14h:10h ",14,NA,"","","","",3.8,1.92,NA,"","","","","","Larvae","","88","24","Closed","","","","","90","mmHg",0.1,29,"","","","","RMR","48.78","","","micro mol h–1 g–1",NA,"33.89","","","","1.45","mmHg","",4.52,"0.19","","","","","","","broken stick",NA,"Pcrit meassured at 4 dpf","","","","","Pan, Y. K., Mandic, M., Zimmer, A. M., & Perry, S. F. (2019). Evaluating the physiological significance of hypoxic hyperventilation in larval zebrafish (Danio rerio). Journal of Experimental Biology, 222(13).",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,-1,NA,45.4,NA,NA,NA,0,0.854803958,11.11940197,"quantatative",1
"599","Cyprinidae","Danio","rerio","Zebrafish","in-house stock at the University of Ottawa","45.422880, -75.683358",45.4," -75.683358","No",NA,28,"0.1","mmHg","153","",NA,"","","satation","daily","14h:10h ",12,NA,"","","","",3.8,1.92,NA,"","","","","","Larvae","",NA,"24","Closed","","","","","90","mmHg",0.1,29,"","","","","RMR","36.13","","","micro mol h–1 g–1",NA,"30.28","","","","1.05","mmHg","",4.04,"0.14","","","","","","","broken stick",NA,"Pcrit meassured at 7 dpf","","","","","Pan, Y. K., Mandic, M., Zimmer, A. M., & Perry, S. F. (2019). Evaluating the physiological significance of hypoxic hyperventilation in larval zebrafish (Danio rerio). Journal of Experimental Biology, 222(13).",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,-1,NA,45.4,NA,NA,NA,0,0.854803958,11.11940197,"quantatative",1
"600","Cyprinidae","Danio","rerio","Zebrafish","in-house stock at the University of Ottawa","45.422880, -75.683358",45.4," -75.683358","No",NA,28,"0.1","mmHg","153","",NA,"","","satation","daily","14h:10h ",10,NA,"","","","",3.8,1.92,NA,"","","","","","Larvae","",NA,"24","Closed","","","","","90","mmHg",0.1,29,"","","","","RMR","58.08","","","micro mol h–1 g–1",NA,"29.36","","","","1.58","mmHg","",3.91,"0.21","","","","","","","broken stick",NA,"Pcrit meassured at 10 dpf","","","","","Pan, Y. K., Mandic, M., Zimmer, A. M., & Perry, S. F. (2019). Evaluating the physiological significance of hypoxic hyperventilation in larval zebrafish (Danio rerio). Journal of Experimental Biology, 222(13).",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,-1,NA,45.4,NA,NA,NA,0,0.854803958,11.11940197,"quantatative",1
"601","Cyprinidae","Danio","rerio","Zebrafish","in-house stock at the University of Ottawa","45.422880, -75.683358",45.4," -75.683358","No",NA,28,"0.1","mmHg","153","",NA,"","","satation","daily","14h:10h ",12,NA,"","","","",3.8,1.92,NA,"","","","","","Larvae","",NA,"24","Closed","","","","","90","mmHg",0.1,29,"","","","","RMR","54.27","","","micro mol h–1 g–1",NA,"31.26","","","","1.18","mmHg","",4.17,"0.16","","","","","","","broken stick",NA,"Pcrit meassured at 15 dpf","","","","","Pan, Y. K., Mandic, M., Zimmer, A. M., & Perry, S. F. (2019). Evaluating the physiological significance of hypoxic hyperventilation in larval zebrafish (Danio rerio). Journal of Experimental Biology, 222(13).",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,-1,NA,45.4,NA,NA,NA,0,0.854803958,11.11940197,"quantatative",1
"602","Sebastidae","Sebastes","caurinus","copper rockfish","Stillwater Cove, central California","36.563931, -121.942715",36.6," -121.942715","Yes","14",12,"30","mg / L","2.2","8.05","frozen, high-protein krill","","","satation","",NA,1,4.57,"","","","",58,3400,0.13,"57.1","","","","","Juvinille","Juvenile","","36","Intermittent-Flow","","Equilibration with with N2","","","10","% Air Sat",30,12,"","","","","SMR","167,2","","","mg O2/kg/h",23.88,"168,782","","","","","% O2 sat","",3.53,"","","","","","","","broken stick regression method","150","Information suplied by Prof. Hamilton. Length of maturity was used instead of common length","","","","","Mattiasen, E. G., Kashef, N. S., Stafford, D. M., Logan, C. A., Sogard, S. M., Bjorkstedt, E. P., & Hamilton, S. L. (2020). Effects of hypoxia on the behavior and physiology of kelp forest fishes. Global change biology, 26(6), 3498-3511.",NA,NA,NA,0.99,"round","Sebastes_caurinus",30,0,0.6599162,36.6,0.134411765,-0.871562717,1.378034322,0.085290299,-7.49e-16,-8.401531022,"quantatative",NA
"603","Sebastidae","Sebastes","caurinus","copper rockfish","Stillwater Cove, central California","36.563931, -121.942715",36.6," -121.942715","Yes","14",12,"30","mg / L","2.2","8.05","frozen, high-protein krill","","","satation","",NA,1,4.13,"","","","",58,3400,0.12,"54.2","","","","","Juvinille","Juvenile","","36","Intermittent-Flow","","Equilibration with with N2","","","10","% Air Sat",30,12,"","","","","SMR","147,24","","","mg O2/kg/h",19,"169,483","","","","","% O2 sat","",3.54,"","","","","","","","broken stick regression method","150","Information suplied by Prof. Hamilton","","","","","Mattiasen, E. G., Kashef, N. S., Stafford, D. M., Logan, C. A., Sogard, S. M., Bjorkstedt, E. P., & Hamilton, S. L. (2020). Effects of hypoxia on the behavior and physiology of kelp forest fishes. Global change biology, 26(6), 3498-3511.",NA,NA,NA,0.99,"round","Sebastes_caurinus",30,0,0.615950052,36.6,0.121470588,-0.915528865,1.278753601,0.02281717,-7.49e-16,-8.401531022,"quantatative",NA
"604","Sebastidae","Sebastes","caurinus","copper rockfish","Stillwater Cove, central California","36.563931, -121.942715",36.6," -121.942715","Yes","14",12,"30","mg / L","2.2","8.05","frozen, high-protein krill","","","satation","",NA,1,2.7,"","","","",58,3400,0.08,"47.1","","","","","Juvinille","Juvenile","","36","Intermittent-Flow","","Equilibration with with N2","","","10","% Air Sat",30,12,"","","","","SMR","133,61","","","mg O2/kg/h",11.27,"167,115","","","","","% O2 sat","",3.49,"","","","","","","","broken stick regression method","150","Information suplied by Prof. Hamilton","","","","","Mattiasen, E. G., Kashef, N. S., Stafford, D. M., Logan, C. A., Sogard, S. M., Bjorkstedt, E. P., & Hamilton, S. L. (2020). Effects of hypoxia on the behavior and physiology of kelp forest fishes. Global change biology, 26(6), 3498-3511.",NA,NA,NA,0.99,"round","Sebastes_caurinus",30,0,0.431363764,36.6,0.079411765,-1.100115153,1.051923916,-0.049480515,-7.49e-16,-8.401531022,"quantatative",NA
"605","Sebastidae","Sebastes","caurinus","copper rockfish","Stillwater Cove, central California","36.563931, -121.942715",36.6," -121.942715","Yes","14",12,"30","mg / L","2.2","8.05","frozen, high-protein krill","","","satation","",NA,1,7.02,"","","","",58,3400,0.21,"66.1","","","","","Juvinille","Juvenile","","36","Intermittent-Flow","","Equilibration with with N2","","","10","% Air Sat",30,12,"","","","","SMR","167,5","","","mg O2/kg/h",36.75,"15,135","","","","","% O2 sat","",3.17,"","","","","","","","broken stick regression method","150","Information suplied by Prof. Hamilton","","","","","Mattiasen, E. G., Kashef, N. S., Stafford, D. M., Logan, C. A., Sogard, S. M., Bjorkstedt, E. P., & Hamilton, S. L. (2020). Effects of hypoxia on the behavior and physiology of kelp forest fishes. Global change biology, 26(6), 3498-3511.",NA,NA,NA,0.99,"round","Sebastes_caurinus",30,0,0.846337112,36.6,0.206470588,-0.685141805,1.565257343,0.116445408,-7.49e-16,-8.401531022,"quantatative",NA
"606","Sebastidae","Sebastes","caurinus","copper rockfish","Stillwater Cove, central California","36.563931, -121.942715",36.6," -121.942715","Yes","14",12,"30","mg / L","4.1","8.05","frozen, high-protein krill","","","satation","",NA,1,9.41,"","","","",58,3400,0.28,"68.1","","","","","Juvinille","Juvenile","","36","Intermittent-Flow","","Equilibration with with N2","","","10","% Air Sat",30,12,"","","","","SMR","101,22","","","mg O2/kg/h",29.77,"141,953","","","","","% O2 sat","",2.97,"","","","","","","","broken stick regression method","150","Information suplied by Prof. Hamilton","","","","","Mattiasen, E. G., Kashef, N. S., Stafford, D. M., Logan, C. A., Sogard, S. M., Bjorkstedt, E. P., & Hamilton, S. L. (2020). Effects of hypoxia on the behavior and physiology of kelp forest fishes. Global change biology, 26(6), 3498-3511.",NA,NA,NA,0.99,"round","Sebastes_caurinus",30,0,0.973589623,36.6,0.276764706,-0.557889294,1.473778835,-0.081566394,-7.49e-16,-8.401531022,"quantatative",NA
