"","X.3","X.2","X.1","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","omrekenfactor.naar.micro.mol.kg.h","MR.µM.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data"
"638",638,638,638,"Cyprinidae","Danio","rerio","Zebrafish","University of Ottawa aquatic care facility","45.422880, -75.683358",45.4,"-75,683358","No","7",28,"0.1","","","","GEMMA Micro 75 fish feed (Skretting USA)","","","satation","daily","14h:10h ",9,NA,"","","","","3,8",1.92,NA,"","","","","","Larvae","Larvae","",NA,"Closed","","O2 consumption by fish","","","","",0.1,28,"","","","",NA,"","","",NA,"",NA,"34.8","","","","0.92","mmHg","",4.64,"0.12","","","","","","","broken stick regression method",NA,"No information about mass available. But could maybe be calculated","","","","","Mandic, M., Pan, Y. K., Gilmour, K. M., & Perry, S. F. (2020). Relationships between the peak hypoxic ventilatory response and critical O2 tension in larval and adult zebrafish (Danio rerio). Journal of Experimental Biology, 223(7).",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,0,NA,45.4,NA,NA,NA,0,-0.145196041500931,10.1194019668762,"quantatative"
"639",639,639,639,"Cyprinidae","Danio","rerio","Zebrafish","University of Ottawa aquatic care facility","45.422880, -75.683358",45.4,"-75,683358","No","10",28,"0.1","","","","GEMMA Micro 75 fish feed (Skretting USA)","","","satation","daily","14h:10h ",9,NA,"","","","","3,8",1.92,NA,"","","","","","Larvae","Larvae","",NA,"Closed","","O2 consumption by fish","","","","",0.1,28,"","","","",NA,"","","",NA,"",NA,"32.9","","","","1.94","mmHg","",4.39,"0.26","","","","","","","broken stick regression method",NA,"No information about mass available. But could maybe be calculated","","","","","Mandic, M., Pan, Y. K., Gilmour, K. M., & Perry, S. F. (2020). Relationships between the peak hypoxic ventilatory response and critical O2 tension in larval and adult zebrafish (Danio rerio). Journal of Experimental Biology, 223(7).",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,0,NA,45.4,NA,NA,NA,0,-0.145196041500931,10.1194019668762,"quantatative"
"640",640,640,640,"Cyprinidae","Danio","rerio","Zebrafish","University of Ottawa aquatic care facility","45.422880, -75.683358",45.4,"-75,683358","No","15",28,"0.1","","","","GEMMA Micro 75 fish feed (Skretting USA)","","","satation","daily","14h:10h ",11,NA,"","","","","3,8",1.92,NA,"","","","","","Larvae","Larvae","",NA,"Closed","","O2 consumption by fish","","","","",0.1,28,"","","","",NA,"","","",NA,"",NA,"33.36","","","","1.66","mmHg","",4.45,"0.22","","","","","","","broken stick regression method",NA,"No information about mass available. But could maybe be calculated","","","","","Mandic, M., Pan, Y. K., Gilmour, K. M., & Perry, S. F. (2020). Relationships between the peak hypoxic ventilatory response and critical O2 tension in larval and adult zebrafish (Danio rerio). Journal of Experimental Biology, 223(7).",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,0,NA,45.4,NA,NA,NA,0,-0.145196041500931,10.1194019668762,"quantatative"
"641",641,641,641,"Cyprinidae","Danio","rerio","Zebrafish","University of Ottawa aquatic care facility","45.422880, -75.683358",45.4,"-75,683358","No",NA,28,"0.1","","","","GEMMA300 fish feed (Skretting USA,Westbrook, ME, USA)","","","satation","Twice daily","14h:10h ",7,NA,"","","","","3,8",1.92,NA,"","","","","","Adult","Adult","",NA,"Closed","","O2 consumption by fish","","","","",0.1,28,"","","","",NA,"","","",NA,"",NA,"20","","","","0.92","mmHg","",2.66,"0.12","","","","","","","broken stick regression method",NA,"No information about mass available. But could maybe be calculated","","","","","Mandic, M., Pan, Y. K., Gilmour, K. M., & Perry, S. F. (2020). Relationships between the peak hypoxic ventilatory response and critical O2 tension in larval and adult zebrafish (Danio rerio). Journal of Experimental Biology, 223(7).",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,0,NA,45.4,NA,NA,NA,0,-0.145196041500931,10.1194019668762,"quantatative"
"642",642,642,642,"Mormyridae","Marcusenius","victoriae","Victoria stonebasher","Lwamunda Swamp, Lake Nabugabo","-0.324360, 31.935162",-0.3,"31,935162","Yes","1-5 days",21.5,"0.1","mg / L","7.2","6.9","None","","",NA,"none",NA,7,14.29,"","","0.01288","0.01507","26",196.46,7.27,"118","","110","127","",NA,"Adult","Male","48","Closed","","O2 consumption by fish","","","60","% O2 sat",0.1,24.6,"","","","","RMR","1.42","1.58","1.26","mg O2/h","31,25",44.375,"14.34","15.05","13.64","","","mmHg","",1.91,"","","","","","","","broken stick regression method","40","No significant difference between Pcrit and RMR between males and females. No specific numbers mentioned in the article","","","","","Moulton, T. L., Chapman, L. J., & Krahe, R. (2020). Effects of hypoxia on aerobic metabolism and active electrosensory acquisition in the African weakly electric fish Marcusenius victoriae. Journal of fish biology, 96(2), 496-505.",NA,"TBA","TBA",NA,"crescent","Marcusenius_victoriae",0.1,-3.1,1.15503222879097,0.3,7.27374529166242,0.861758089080218,1.64713836606315,-0.188594594668076,-2.42861286636753e-15,-6.20037960332972,"quantatative"
"643",643,643,643,"Mormyridae","Marcusenius","victoriae","Victoria stonebasher","Lwamunda Swamp, Lake Nabugabo","-0.324360, 31.935162",-0.3,"31,935162","Yes","1-5 days",21.5,"0.1","mg / L","7.2","6.9","None","","",NA,"none",NA,6,19.51,"","","0.02241","0.1487","26",196.46,9.93,"110","","108","112","",NA,"Adult","Female","48","Closed","","O2 consumption by fish","","","60","% O2 sat",0.1,24.6,"","","","","RMR","1.42","1.58","1.26","mg O2/h","31,25",44.375,"14.34","15.05","13.64","","","mmHg","",1.91,"","","","","","","","broken stick regression method","40","No significant difference between Pcrit and RMR between males and females. No specific numbers mentioned in the article","","","","","Moulton, T. L., Chapman, L. J., & Krahe, R. (2020). Effects of hypoxia on aerobic metabolism and active electrosensory acquisition in the African weakly electric fish Marcusenius victoriae. Journal of fish biology, 96(2), 496-505.",NA,"TBA","TBA",NA,"crescent","Marcusenius_victoriae",0.1,-3.1,1.29025726939452,0.3,9.93077471240965,0.996983129683765,1.64713836606315,-0.301802332297419,-2.42861286636753e-15,-6.20037960332972,"quantatative"
"644",644,644,644,"Fundulidae","Fundulus","heteroclitus","Killifish","Aquatic Research Organisms (ARO, Hampton, New Hampshire, USA)","42.923911, -70.851574",42.9,"-70,851574","Yes","14",18,"0.1","","","","commercial fish food (Big Al's Aquarium Superstore, Woodbridge, ON)","","","","daily","12h:12h",15,4.22,"","0.09","0.00714","0.0016","15",59.33,7.11,"","","","","","Adult","Adult","","24","Intermittent-Flow","","O2 consumption by fish","","","10","% O2 sat",0.1,18,"","","","","RMR","5.4","","","micro mol h–1 g–1","1000",22.79,"29.66","","","","2.09","Torr","",3.95,"0.27","","","","","","","",NA,"","","","","","Kulesza, A., Leonard, E. M., & McClelland, G. B. (2020). Influence of 96h sub-lethal copper exposure on aerobic scope and recovery from exhaustive exercise in killifish (Fundulus heteroclitus). Aquatic Toxicology, 218, 105373.",NA,"1.36","FCM",1.36,"round","Fundulus_heteroclitus_heteroclitus",0.1,0,0.625312450961674,42.9,7.11275914377212,0.85203810262422,1.35774432518038,0.129321006018389,-3.1688522510467,-0.596772177813667,"quantatative"
"645",645,645,645,"Cyprinidae","Danio","rerio","Zebrafish","in-house stock at the University of Ottawa","45.422880, -75.683358",45.4,"-75,683358","No","",28,"0.1","","","","None","","","","","14h:10h ",13,NA,"","","","","3,8",1.92,NA,"","","","","","Larvae","Larvae","","","Closed","","O2 consumption by fish","","","","",0.1,28.5,"","","","","RMR","70","","","micro mol h–1 g–1","1000",NA,"42.86","","","","1.78","mmHg","",5.71,"0.24","","","","","","","",NA,"larvae of 4 dpf","","","","","Hughes, M. C., & Perry, S. F. (2021). Does blood flow limit acute hypoxia performance in larval zebrafish (Danio rerio)?. Journal of Comparative Physiology B, 191(3), 469-478.",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,-0.5,NA,45.4,NA,NA,NA,0,0.354803958499069,10.6194019668762,"quantatative"
"646",646,646,646,"Cyprinidae","Danio","rerio","Zebrafish","in-house stock at the University of Ottawa","45.422880, -75.683358",45.4,"-75,683358","No","",28,"0.1","","","","None","","","","","14h:10h ",7,NA,"","","","","3,8",1.92,NA,"","","","","","Larvae","Larvae","","","Closed","","O2 consumption by fish","","","","",0.1,34,"","","","","RMR","102.2","","","micro mol h–1 g–1","1000",NA,"52.9","","","","2.29","mmHg","",7.05,"0.31","","","","","","","",NA,"Larvae of 4 dpf. Acutely warmed to 34 degree C","","","","","Hughes, M. C., & Perry, S. F. (2021). Does blood flow limit acute hypoxia performance in larval zebrafish (Danio rerio)?. Journal of Comparative Physiology B, 191(3), 469-478.",NA,"1.87","FCM",1.87,"round","Danio_rerio",0.1,-6,NA,45.4,NA,NA,NA,0,5.85480395849907,16.1194019668762,"quantatative"
"647",647,647,647,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,1110,"","","","","200",31900,3.48,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.6,"","","","","RMR","171.15","","","mg O2 kg?0.89 h?1","",11209.47,"","","","","","kPa","",17.2,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.600000000000001,3.04532297878666,17.5,3.47962382445141,0.541532295729476,4.04958507900739,0.289175758254843,-0.133333333333332,3.72689851213686,"qualitative (Seawater)"
"648",648,648,648,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,930,"","","","","200",31900,2.92,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.6,"","","","","RMR","122.07","","","mg O2 kg?0.89 h?1","",6424.47,"","","","","","kPa","",18.19,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.600000000000001,2.96848294855394,17.5,2.9153605015674,0.464692265496754,3.80783730545554,0.111756942884048,-0.133333333333332,3.72689851213686,"qualitative (Seawater)"
"649",649,649,649,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,750,"","","","","200",31900,2.35,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.6,"","","","","RMR","95.53","","","mg O2 kg?0.89 h?1","",3933.58,"","","","","","kPa","",15.57,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.600000000000001,2.8750612633917,17.5,2.35109717868339,0.371270580334519,3.59478798714917,-0.0230815826909354,-0.133333333333332,3.72689851213686,"qualitative (Seawater)"
"650",650,650,650,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,760,"","","","","200",31900,2.38,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.6,"","","","","RMR","95.89","","","mg O2 kg?0.89 h?1","",4002.9,"","","","","","kPa","",20.03,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.600000000000001,2.88081359228079,17.5,2.38244514106583,0.37702290922361,3.60237474074446,-0.0203105654173143,-0.133333333333332,3.72689851213686,"qualitative (Seawater)"
"651",651,651,651,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,950,"","","","","200",31900,2.98,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,30.1,"","","","","RMR","114.13","","","mg O2 kg?0.89 h?1","",6084.98,"","","","","","kPa","",16.29,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-1.1,2.97772360528885,17.5,2.97805642633229,0.473932922231667,3.78425915513734,0.0687230754050644,0.366666666666668,4.22689851213686,"qualitative (Seawater)"
"652",652,652,652,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,670,"","","","","200",31900,2.1,"","","","","","neonates","Juvenile","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.9,"","","","","RMR","83.63","","","mg O2 kg?0.89 h?1","",3026.09,"","","","","","kPa","",15.91,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.899999999999999,2.82607480270083,17.5,2.10031347962382,0.322284119643645,3.48088184038318,-0.103013646376547,0.166666666666665,4.02689851213685,"qualitative (Seawater)"
"653",653,653,653,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,1160,"","","","","200",31900,3.64,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.5,"","","","","RMR","151.96","","","mg O2 kg?0.89 h?1","",10249.18,"","","","","","kPa","",18.71,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.5,3.06445798922692,17.5,3.63636363636364,0.560667306169737,4.0106891204434,0.23660891966987,-0.233333333333333,3.62689851213686,"qualitative (Seawater)"
"654",654,654,654,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,980,"","","","","200",31900,3.07,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.5,"","","","","RMR","160.55","","","mg O2 kg?0.89 h?1","",9210.64,"","","","","","kPa","",15.68,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.5,2.99122607569249,17.5,3.07210031347962,0.487435392635314,3.96428980813513,0.251517921387589,-0.233333333333333,3.62689851213686,"qualitative (Seawater)"
"655",655,655,655,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,930,"","","","","200",31900,2.92,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.6,"","","","","RMR","123.10","","","mg O2 kg?0.89 h?1","",6485.41,"","","","","","kPa","",19.35,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.600000000000001,2.96848294855394,17.5,2.9153605015674,0.464692265496754,3.81193743687485,0.115857074303361,-0.133333333333332,3.72689851213686,"qualitative (Seawater)"
"656",656,656,656,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,800,"","","","","200",31900,2.51,"","","","","","neonates","Juvenile","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,30,"","","","","RMR","137.07","","","mg O2 kg?0.89 h?1","",6295.05,"","","","","","kPa","",18.33,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-1,2.90308998699194,17.5,2.50783699059561,0.399299303934762,3.7989991839495,0.148285727851937,0.266666666666665,4.12689851213686,"qualitative (Seawater)"
"657",657,657,657,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,770,"","","","","200",31900,2.41,"","","","","","neonates","Juvenile","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.9,"","","","","RMR","105.68","","","mg O2 kg?0.89 h?1","",4523.66,"","","","","","kPa","",16.18,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.899999999999999,2.88649072517248,17.5,2.41379310344828,0.382700042115301,3.65548995574219,0.0210154499688331,0.166666666666665,4.02689851213685,"qualitative (Seawater)"
"658",658,658,658,"Carcharhinidae","Carcharhinus","melanopterus","blacktip reef shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",29,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,1080,"","","","","200",31900,3.39,"","","","","","neonates","Adult","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.9,"","","","","RMR","200.03","","","mg O2 kg?0.89 h?1","",12994.93,"","","","","","kPa","",18.09,"1.53","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,"3","FIA",3,"crescent","Carcharhinus_melanopterus",35,-0.899999999999999,3.03342375548695,17.5,3.38557993730408,0.529633072429769,4.11377394442221,0.356290002891376,0.166666666666665,4.02689851213685,"qualitative (Seawater)"
"659",659,659,659,"Carcharhinidae","Negaprion","acutidens","sicklefin lemon shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",28,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,1060,"","","","","380",461500,0.23,"","","","","","neonates","Juvenile","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.6,"","","","","RMR","176.52","","","mg O2 kg?0.89 h?1","",11082.65,"","","","","","kPa","",13.76,"1.66","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,NA,NA,3.7,"crescent","Negaprion_acutidens",35,-1.6,3.02530586526477,17.5,0.229685807150596,-0.638865840097161,4.04464361804324,0.300992230034276,0.200000000000004,3.72689851213686,"qualitative (Seawater)"
"660",660,660,660,"Carcharhinidae","Negaprion","acutidens","sicklefin lemon shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",28,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,1260,"","","","","380",461500,0.27,"","","","","","neonates","Juvenile","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.6,"","","","","RMR","191.22","","","mg O2 kg?0.89 h?1","",14412.56,"","","","","","kPa","",18.82,"1.66","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,NA,NA,3.7,"crescent","Negaprion_acutidens",35,-1.6,3.10037054511756,17.5,0.273022751895991,-0.563801160244368,4.1587411282899,0.352247070431648,0.200000000000004,3.72689851213686,"qualitative (Seawater)"
"661",661,661,661,"Carcharhinidae","Negaprion","acutidens","sicklefin lemon shark","Moorea, French Polynesia","-17.534849, -149.829107",-17.5,"-149,829107","Yes","",28,"Seawater","","","","Fresh tuna","","","ad libitum","every other day","natural light cycle",1,1520,"","","","","380",461500,0.33,"","","","","","neonates","Juvenile","","","Closed","","O2 consumption by fish","","","2","mg/ml",30,29.4,"","","","","RMR","284.53","","","mg O2 kg?0.89 h?1","",27173.21,"","","","","","kPa","",16.49,"1.66","","","","","","","linear regression","240","Pcrit data was measured per individual fish. Pcrit was measured using static trials while sharks need to swim for O2 uptake. So this could influence the Pcrit. See discussion in paper.","","","","","Bouyoucos, I. A., Trujillo, J. E., Weideli, O. C., Nakamura, N., Mourier, J., Planes, S., ... & Rummer, J. L. (2021). Investigating links between thermal tolerance and oxygen supply capacity in shark neonates from a hyperoxic tropical environment. Science of The Total Environment, 146854.",NA,NA,NA,3.7,"crescent","Negaprion_acutidens",35,-1.4,3.18184358794477,17.5,0.329360780065005,-0.482328117417158,4.43414094511429,0.564137962405691,-1.85962356624714e-15,3.52689851213686,"qualitative (Seawater)"
